Min,Max,Mean,Median,Std,Label
756.0,3448.0,1682.6666666666667,844.0,1248.7960424166772,1
1136.0,1136.0,1136.0,1136.0,0.0,1
304.0,2472.0,885.7871342062712,916.0,138.7984234075301,0
1220.0,1388.0,1314.6666666666667,1336.0,70.22503510540636,0
412.0,976.0,631.4347826086956,632.0,42.67198050952071,0
440.0,440.0,440.0,440.0,0.0,0
492.0,492.0,492.0,492.0,0.0,0
416.0,1116.0,729.3333333333334,656.0,290.4402788105596,1
360.0,26180.0,2886.0,632.0,5777.614501966476,1
324.0,2804.0,1003.1612903225806,556.0,634.257355763629,0
460.0,1384.0,895.2950310559006,892.0,50.67335328428118,0
688.0,688.0,688.0,688.0,0.0,0
380.0,1204.0,885.8653530377668,884.0,60.44945178900544,0
516.0,2096.0,727.76,536.0,414.3678829253059,0
584.0,620.0,600.6666666666666,598.0,9.910712498212336,0
1092.0,1168.0,1135.2,1136.0,24.579666393179547,0
580.0,628.0,601.5555555555555,604.0,10.078702640398724,0
544.0,568.0,555.5862068965517,556.0,6.419352429362811,0
392.0,2368.0,1098.615332197615,1132.0,143.23126807139352,0
340.0,14516.0,1944.4615384615383,1316.0,1830.551957946819,1
340.0,888.0,568.5384615384615,546.0,121.5237332848168,0
520.0,524.0,522.0,522.0,2.0,1
468.0,468.0,468.0,468.0,0.0,0
944.0,944.0,944.0,944.0,0.0,1
588.0,708.0,618.916129032258,616.0,15.911430194110784,0
456.0,456.0,456.0,456.0,0.0,0
316.0,2304.0,957.6949152542372,1048.0,365.1816940033581,0
312.0,1984.0,797.7142857142857,664.0,521.07957009208,1
564.0,1968.0,1208.0,1318.0,446.2510504189318,0
304.0,1832.0,652.5310821181888,628.0,120.88829729549506,0
344.0,1232.0,724.0447578749412,744.0,84.97458382434974,0
432.0,1464.0,1025.8235294117646,1060.0,310.6330794274848,0
548.0,1596.0,1064.0,1056.0,510.8372213011368,0
524.0,1144.0,804.3235294117648,804.0,25.078958356541342,0
440.0,1332.0,820.2935779816514,820.0,87.52449751457988,0
548.0,1572.0,1181.0,1302.0,416.0420651809141,0
404.0,2988.0,885.1343283582089,664.0,561.1505476962245,0
424.0,21012.0,3657.142857142857,848.0,7090.445793532336,1
512.0,3016.0,873.5272727272727,532.0,636.4686625020177,0
380.0,880.0,598.1052631578947,584.0,103.45906626947588,0
364.0,788.0,574.5378590078329,576.0,40.93468021741852,0
556.0,556.0,556.0,556.0,0.0,0
492.0,820.0,627.4285714285714,624.0,24.162291417218945,0
