Min,Max,Mean,Median,Std,Label
512.0,2140.0,687.2,532.0,412.3822175280274,0
352.0,944.0,877.1538461538462,892.0,89.94130235782939,0
520.0,1552.0,707.1111111111111,544.0,337.89822413937486,0
464.0,1412.0,1067.9063063063063,1080.0,81.19729201457874,0
544.0,580.0,561.5238095238095,560.0,8.856630809571557,0
504.0,1576.0,885.0,544.0,470.5879301469599,0
552.0,1844.0,1198.0,1198.0,646.0,0
708.0,708.0,708.0,708.0,0.0,1
724.0,724.0,724.0,724.0,0.0,1
512.0,1568.0,615.047619047619,530.0,251.97401154549863,0
788.0,1292.0,1081.0666666666666,1124.0,127.50794310769643,0
388.0,1048.0,876.46783625731,892.0,79.95534474084994,0
536.0,1052.0,794.0,794.0,258.0,0
540.0,912.0,657.0,588.0,152.35156710713545,0
488.0,488.0,488.0,488.0,0.0,0
